"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"AFS Interest B.V.";"AFS Interest B.V.";"Amsterdam";"Nederland"
"AFX Markets Limited";"AFX Markets Limited, SuperTradingOnline UK (STO UK)";"London";"Verenigd Koninkrijk"
"Agency Partners LLP";"Agency Partners LLP";"LONDON";"Verenigd Koninkrijk"
"Agenda Invest Ltd";"Agenda Invest Ltd";"";""
"AGF International Advisors Company Ltd";"AGF International Advisors Company Ltd";"DUBLIN 2";"Ierland"
"AGFE Limited";"AGFE Limited";"LONDON";"Verenigd Koninkrijk"
"Agincourt Financial Limited";"Agincourt Financial Limited";"LONDON";"Verenigd Koninkrijk"
"Agora Direct Limited";"Agora Direct Limited";"";""
"Agora Microfinance Partners LLP";"Agora Microfinance Partners LLP";"LONDON";"Verenigd Koninkrijk"
"Agora Trading System Ltd.";"Agora Trading System Ltd.";"Berlijn";"Duitsland"
"AHJ Capital Markets Limited";"AHJ Capital Markets Limited";"London";""
"Ahorro Corporacion Financiera, S.V.B., S.A.";"Ahorro Corporacion Financiera, S.V.B., S.A.";"MADRID";"Spanje"
"AHP Capital Management GmbH";"AHP Capital Management GmbH";"Frankfurt am Main";""
"AHV Associates LLP";"AHV Associates LLP";"LONDON";"Verenigd Koninkrijk"
"AIB Corporate Finance";"AIB Corporate Finance";"DUBLIN";"Ierland"
"AIB Investment Managers Ltd";"AIB Investment Managers Ltd";"DUBLIN 4";"Ierland"
"AIG Capital Management Limited";"AIG Capital Management Limited";"LONDON";"Verenigd Koninkrijk"
"Aitken Advisors LLP";"Aitken Advisors LLP";"";""
"AK Jensen Limited";"AK Jensen Limited";"LONDON";"Verenigd Koninkrijk"
"Akcenta CZ a.s.";"Akcenta CZ a.s.";"Praag";""
"AKFX Financial Services Ltd";"AKFX Financial Services Ltd";"St. Julians";"Malta"
"Akselrod Consulting AR Limited";"Akselrod Consulting AR Limited";"London";"Verenigd Koninkrijk"
"Aksia Europe Limited";"Aksia Europe Limited";"LONDON";"Verenigd Koninkrijk"
"Aktia Asset Management Ltd";"Aktia Asset Management Ltd";"Helsinki";""
"Aladdin Capital Management UK LLP";"Aladdin Capital Management UK LLP";"LONDON";"Verenigd Koninkrijk"
"Alan Boswell & Company Limited";"Alan Boswell & Company Limited";"NORWICH - NORFOLK";"Verenigd Koninkrijk"
"ALB Forex Trading Limited";"ALB Forex Trading Limited";"Ta' Xbiex";"Malta"
"Albacore Capital LLP";"Albacore Capital LLP";"";""
"Albourne Partners Limited";"Albourne Partners Limited";"LONDON";"Verenigd Koninkrijk"
"Alcentra Limited";"Alcentra Limited";"London";"Verenigd Koninkrijk"
"Alder Capital Designated Activity Company";"Alder Capital Designated Activity Company";"";""
"Aldgate Advisors Limited";"Aldgate Advisors Limited";"London";"Verenigd Koninkrijk"
"Aleph Capital Partners LLP";"Aleph Capital Partners LLP";"London";"Verenigd Koninkrijk"
"Alexander David Securities Limited";"Alexander David Securities Limited";"LONDON";"Verenigd Koninkrijk"
"Alexander House Financial Services Limited";"Alexander House Financial Services Limited";"";"Verenigd Koninkrijk"
"Alfa Capital Holdings (Cyprus) Ltd";"Alfa Capital Holdings (Cyprus) Ltd";"Nicosia";"Cyprus"
"Alfa Trade (UK) Ltd";"Alfa Trade (UK) Ltd, Alpha Wealth, AlfaTrade";"London";""
"Alger Management Ltd";"Alger Management Ltd";"London";"Verenigd Koninkrijk"
"Algo Capital Management Limited";"Algo Capital Management Limited";" TURNBRIDGE WELLS";"Verenigd Koninkrijk"
"Algorithmic Trading Group Netherlands Management B.V.";"Algorithmic Trading Group Netherlands Management B.V.";"Amsterdam";"Nederland"
"Alinda Capital LLP";"Alinda Capital LLP";"London";"Verenigd Koninkrijk"
"Alion Partners Capital LLP";"Alion Partners Capital LLP";"LONDON";"Verenigd Koninkrijk"
"Alken Asset Management Limited";"Alken Asset Management Limited";"LONDON";"Verenigd Koninkrijk"
"All IPO Plc";"All IPO Plc";"LONDON";"Verenigd Koninkrijk"
"All Options International B.V.";"All Options International B.V.";"Amsterdam";"Nederland"
"All Trading Europe Assets & Markets, S.V.,S.A.";"All Trading Europe Assets & Markets, S.V.,S.A.";"MADIRID";"Spanje"
"Allen & Company Advisory UK LLP";"Allen & Company Advisory UK LLP";"LONDON";"Verenigd Koninkrijk"
"AllianceBernstein L.P.";"AllianceBernstein L.P.";" NEW YORK NY 10105";"Verenigde Staten"
"Allianz Global Investors Europe GmbH";"Allianz Global Investors Europe GmbH";"Frankfurt";"Duitsland"
"Allianz Risk Transfer (UK) Limited";"Allianz Risk Transfer (UK) Limited";"";"Verenigd Koninkrijk"
"Allied Irish Capital Management Limited";"Allied Irish Capital Management Limited";"DUBLIN 4";"Ierland"
"ALLX Ltd";"ALLX Ltd";"London";""
"Almazara B.V.";"Almazara B.V.";"Utrecht";"Nederland"
"Alpari (UK) Limited";"Alpari (UK) Limited";"LONDON";"Verenigd Koninkrijk"
"Alpcot Capital Management Ltd";"Alpcot Capital Management Ltd";"LONDON";"Verenigd Koninkrijk"
"Alpha Capital Asset Management B.V.";"Alpha Capital Asset Management B.V.";"Eindhoven";"Nederland"
"alpha connect capital GmbH";"alpha connect capital GmbH";"NEU-ANSPACH ";"Duitsland"
"Alpha FX Limited";"Alpha FX Limited";"London ";""
"Alpha Value Management (UK) LLP";"Alpha Value Management (UK) LLP";"LONDON";"Verenigd Koninkrijk"
"AlphaBet Capital Advisors Ltd";"AlphaBet Capital Advisors Ltd";"LONDON";"Verenigd Koninkrijk"
"Alpha-Kapital-Service GmbH";"Alpha-Kapital-Service GmbH";"KEHL";"Duitsland"
"AlphaNi Limited";"AlphaNi Limited";"Londen";""
"Alpha-UCITS Ltd";"Alpha-UCITS Ltd";"LONDON";"Verenigd Koninkrijk"
"Alps F S Limited";"Alps F S Limited";"GUILDFORD - SURREY";"Verenigd Koninkrijk"
"Alquity Investment Management Limited";"Alquity Investment Management Limited";"LONDON";"Verenigd Koninkrijk"
"Altana Wealth Limited";"Altana Wealth Limited";"LONDON";"Verenigd Koninkrijk"
"Alteri Partners LLP";"Alteri Partners LLP";"";""
"Alternatives St James LLP";"Alternatives St James LLP";"LONDON";"Verenigd Koninkrijk"
"AlterNet (UK) Limited";"AlterNet (UK) Limited";"London";"Verenigd Koninkrijk"
"Altima Partners LLP";"Altima Partners LLP";"LONDON";"Verenigd Koninkrijk"
"Altis Investment Management B.V.";"Altis Investment Management B.V.";"'s-Gravenhage";"Nederland"
"Altium Capital Limited";"Altium Capital Limited";"LONDON";"Verenigd Koninkrijk"
"Altius Associates Limited";"Altius Associates Limited";"LONDON ";"Verenigd Koninkrijk"
"Altius Partners Limited";"Altius Partners Limited";"LONDON";"Verenigd Koninkrijk"
"Altorfer Financial Management Limited";"Altorfer Financial Management Limited";"WALTHAM CROSS - HERTFORDSHIRE";"Verenigd Koninkrijk"
"Altrinsic Global Avisors UK Limited";"Altrinsic Global Avisors UK Limited";"LONDON";"Verenigd Koninkrijk"
"Altruid Systems Limited";"Altruid Systems Limited";"Valetta";"Malta"
"Alvarez & Marsal FS Europe Limted";"Alvarez & Marsal FS Europe Limted";"London";"Verenigd Koninkrijk"
"Alvier Asset Management AG";"Alvier Asset Management AG";"Vaduz";"Liechtenstein"
"Alvine Capital Management Limited";"Alvine Capital Management Limited";"LONDON";"Verenigd Koninkrijk"
"Amagis Capital Partners LLP";"Amagis Capital Partners LLP";"London";"Verenigd Koninkrijk"
"Amala Partners LLP";"Amala Partners LLP";"";""
"Amalgamated Metal Trading Ltd";"Amalgamated Metal Trading Ltd";"LONDON";"Verenigd Koninkrijk"
"Amana capital Ltd";"Amana capital Ltd";"";""
"AMB Prime Ltd";"AMB Prime Ltd";"Limassol";"Cyprus"
"Ambassador Vermogensbeheer B.V.";"Ambassador Vermogensbeheer B.V.";"Blaricum";"Nederland"
"Amber Fondsmaeglerselskab A/S";"Amber Fondsmaeglerselskab A/S";"HELLERUP ";"Denemarken"
"Ambrosia Capital Ltd";"Ambrosia Capital Ltd";"";""
"AMDK Vermogensbeheer B.V.";"AMDK Vermogensbeheer B.V.";"Joure";"Nederland"
"Amenda Markets AS IBS";"Amenda Markets AS IBS";"";""
"American Century Investment Management (UK) Limited";"American Century Investment Management (UK) Limited";"LONDON";"Verenigd Koninkrijk"
"American Century Investment Management, Inc ";"American Century Investment Management, Inc";"KANSAS CITY, MISSOURI 64111";"Verenigde Staten"
"American Express Financial Services Europe Limited";"American Express Financial Services Europe Limited";"LONDON";"Verenigd Koninkrijk"
"AMFF Ltd";"AMFF Ltd";"";""
"AMFIE";"AMFIE";"";""
"Amfora Vermogensbeheer B.V.";"Amfora Vermogensbeheer B.V.";"Goes";"Nederland"
"AMG Kapital Limited";"AMG Kapital Limited";"Limassol";"Cyprus"
"Amias Berman & Co LLP";"Amias Berman & Co LLP";"LONDON";"Verenigd Koninkrijk"
"Amius Limited";"Amius Limited";"LONDON";"Verenigd Koninkrijk"
"AMP Capital Investors (UK) Limited";"AMP Capital Investors (UK) Limited";"LONDON";"Verenigd Koninkrijk"
"AMP Global Ltd";"AMP Global Ltd";"Limassol";""
"Amstel Securities LLP (Bijkantoor)";"Amstel Securities LLP (Bijkantoor)";"Amsterdam";""
"Amsterdam Trade Bank N.V.";"Amsterdam Trade Bank N.V.";"Amsterdam";"Nederland"
"AMT Futures Ltd";"AMT Futures Ltd";"LONDON";"Verenigd Koninkrijk"
"Amundi (UK) ltd";"Amundi (UK) ltd";"Londen";""
"Amundi Asset Management";"Amundi Asset Management";"PARIS";"Frankrijk"
"Anacap Financial Partners LLP";"Anacap Financial Partners LLP";"London";"Verenigd Koninkrijk"
"Anadolubank Nederland N.V.";"Anadolubank Nederland N.V.";"Amsterdam";"Nederland"
"Ancala Partners LLP";"Ancala Partners LLP";"London";"Verenigd Koninkrijk"
"Anchor International Partners Limited";"Anchor International Partners Limited";"London";""
"Ancora Finance LLP";"Ancora Finance LLP";"London";"Verenigd Koninkrijk"
"Andes Financial Services Limited";"Andes Financial Services Limited";"London";"Verenigd Koninkrijk"
"Andreas Capital S.A.";"Andreas Capital S.A.";"Luxembourg";"Luxemburg"
"Andries van der Veen Beleggingsconsultant";"Andries van der Veen Beleggingsconsultant";"Marum";"Nederland"
"Andurance Ventures LLP";"Andurance Ventures LLP";"London";"Verenigd Koninkrijk"
"Andurand Capital Management LLP";"Andurand Capital Management LLP";"";""
"AngelList Ltd";"AngelList Ltd";"London";"Verenigd Koninkrijk"
"Angels Den Funding Ltd.";"Angels Den Funding Ltd.";"";"Verenigd Koninkrijk"
"Anglo Irish Bank Corporation plc";"Anglo Irish Bank Corporation plc";"DUBLIN";"Ierland"
"Annandale Financial Services LLP";"Annandale Financial Services LLP";"Dumfries";"Verenigd Koninkrijk"
"Anton v. Below & Co.";"Anton v. Below & Co.";"HAMBURG";"Duitsland"
"Anvil Partners  LLP";"Anvil Partners  LLP";"LONDON";"Verenigd Koninkrijk"
"ANZ Bank (Europe) Limited";"ANZ Bank (Europe) Limited";"LONDON";"Verenigd Koninkrijk"
"Aon Benfield Securities Limited";"Aon Benfield Securities Limited";"LONDON";"Verenigd Koninkrijk"
"Aon Hewitt Limited";"Aon Hewitt Limited";"LEEDS, West Yorkshire";"Verenigd Koninkrijk"
"Aon Hewitt Risk & Financial Management B.V.";"Aon Hewitt Risk & Financial Management B.V.";"Rotterdam";"Nederland"
"Apax Partners LLP";"Apax Partners LLP";"London";"Verenigd Koninkrijk"
"Apeiron Securities and Investments LLP";"Apeiron Securities and Investments LLP";"London";"Verenigd Koninkrijk"
"Apel Financial Services Distribution Limited";"Apel Financial Services Distribution Limited";"Dublin";""
"Apera Capital UK LLP";"Apera Capital UK LLP";"London";"Verenigd Koninkrijk"
"Aperture Investors UK, Ltd";"Aperture Investors UK, Ltd";"London";""
"APME FX Trading Europe Ltd";"APME FX Trading Europe Ltd, O.Z.I. Online Zone Investment Opportunities, FXURPE";"Limassol";""
"Apollo Asset Management Europe PC LLP";"Apollo Asset Management Europe PC LLP";"London";""
"Apollo Management International LLP";"Apollo Management International LLP";"London";"Verenigd Koninkrijk"
"APPL International Inc.";"APPL International Inc.";"NEW YORK";"Verenigde Staten"
"Appleton Capital Management  Limited";"Appleton Capital Management  Limited, Appleton Capital Management Limited";"DUBLIN 1";"Ierland"
"Apside Financial Limited";"Apside Financial Limited";"Limassol";"Cyprus"
"AQR Capital Management (Germany) GmbH";"AQR Capital Management (Germany) GmbH";"Frankfurt";""
"AQR Capital Management, LLC";"AQR Capital Management, LLC";"";""
"Aquis Exchange Limited";"Aquis Exchange Limited";"London";"Verenigd Koninkrijk"
"Arabesque Asset Management Limited";"Arabesque Asset Management Limited";"London";""
"Aramis Capital (Europe) Ltd";"Aramis Capital (Europe) Ltd";"Valletta";""
"Aran Asset Management AG";"Aran Asset Management AG";"";""
"Arbour Partners LLP";"Arbour Partners LLP";"LONDON";"Verenigd Koninkrijk"
"Arbuthnot Latham & Co Limited";"Arbuthnot Latham & Co Limited";"LONDON";"Verenigd Koninkrijk"
"Arch Financial Products LLP";"Arch Financial Products LLP";"LONDON";"Verenigd Koninkrijk"
"Archelon Deutschland GmbH";"Archelon Deutschland GmbH";"FRANKFURT AM MAIN";"Duitsland"
"Arcinvest AG";"Arcinvest AG";"Vaduz";""
"Arctic Fund Management AS";"Arctic Fund Management AS";"OSLO";"Noorwegen"
"Arctic Securities ASA";"Arctic Securities ASA";"OSLO";"Noorwegen"
"Arctica Finance hf.";"Arctica Finance hf.";"Reykjavik ";""
"Ardea Partners UK LLP";"Ardea Partners UK LLP";"London";""
"Arden Asset Management (UK) Limited";"Arden Asset Management (UK) Limited";"London";"Verenigd Koninkrijk"
"Arden Partners Plc";"Arden Partners Plc";"BIRMINGHAM";"Verenigd Koninkrijk"
"Ardevora Asset Management LLP";"Ardevora Asset Management LLP";"LONDON";"Verenigd Koninkrijk"
"Arena Wealth Management Ltd";"Arena Wealth Management Ltd";"London";"Verenigd Koninkrijk"
"Ares Capital Management III LLC";"Ares Capital Management III LLC";"Los Angeles";"Verenigde Staten"
"Ares European Loan Management LLP";"Ares European Loan Management LLP";"";""
"Ares Management Limited";"Ares Management Limited";"LONDON";"Verenigd Koninkrijk"
"Arete Research Services LLP";"Arete Research Services LLP";"London";"Verenigd Koninkrijk"
"Aretex Capital Management (UK) Ltd";"Aretex Capital Management (UK) Ltd";"London";""
"Argentex LLP";"Argentex LLP";"London ";""
"Argenthal & Co Limited";"Argenthal & Co Limited";"";""
"Argentis Financial Management  Ltd";"Argentis Financial Management  Ltd";"London";"Verenigd Koninkrijk"
"Argo Securities";"Argo Securities";"OSLO";"Noorwegen"
"Argus Stockbrokers Ltd";"Argus Stockbrokers Ltd";"NICOSIA";"Cyprus"
"Argusfx Ltd";"Argusfx Ltd";"Nicosia";"Cyprus"
"Argyle Consulting Ltd";"Argyle Consulting Ltd";"GLASGOW - LANARKSHIRE";"Verenigd Koninkrijk"
"Arian Financial LLP";"Arian Financial LLP";"London ";""
"Ariconsult Fonds Marketing GmbH";"Ariconsult Fonds Marketing GmbH";"GRAZ";"Oostenrijk"
"Arion Investment Management Limited";"Arion Investment Management Limited";"";""
"Ariya Capital LLP";"Ariya Capital LLP";"LONDON";"Verenigd Koninkrijk"
"ARJ (Europe) Limited";"ARJ (Europe) Limited";"LONDON";"Verenigd Koninkrijk"
"Arjan Capital Ltd";"Arjan Capital Ltd";"London";""
"Arjent Limited";"Arjent Limited";"LONDON";"Verenigd Koninkrijk"
"Arjun Infrastructure Partners Limited";"Arjun Infrastructure Partners Limited";"Londen";"Verenigd Koninkrijk"
"Arlington Capital Ltd";"Arlington Capital Ltd";"London";""
"Arlington Group Asset Management Limited";"Arlington Group Asset Management Limited";"";""
"Arma Partners LLP";"Arma Partners LLP";"London";"Verenigd Koninkrijk"
