"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"iShares eb.rexx® Government Germany 5.5-10.5 (DE)";"iShares eb.rexx® Government Germany 5.5-10.5 (DE)";"MUNCHEN";"Duitsland"
"iShares eb.rexx® Jumbo Pfandbriefe (DE)";"iShares eb.rexx® Jumbo Pfandbriefe (DE)";"MUNCHEN";"Duitsland"
"iShares eb.rexx® Money Market (DE)";"iShares eb.rexx® Money Market (DE)";"MUNCHEN";"Duitsland"
"iShares EURO STOXX (DE)";"iShares EURO STOXX (DE)";"MUNCHEN";"Duitsland"
"iShares EURO STOXX 50 (DE)";"iShares EURO STOXX 50 (DE)";"MUNCHEN";"Duitsland"
"iShares II plc";"iShares II plc";"DUBLIN 1";"Ierland"
"iShares III plc";"iShares III plc";"DUBLIN 1";"Ierland"
"iShares IV plc";"iShares IV plc";"DUBLIN 1";"Ierland"
"iShares NASDAQ-100®  (DE)";"iShares NASDAQ-100®  (DE)";"MUNCHEN";"Duitsland"
"iShares plc";"iShares plc";"Dublin 1";"Ierland"
"iShares STOXX EU Enlarged 15  (DE)";"iShares STOXX EU Enlarged 15  (DE)";"MUNCHEN";"Duitsland"
"iShares STOXX Europe 50 (DE)";"iShares STOXX Europe 50 (DE)";"MUNCHEN";"Duitsland"
"iShares STOXX Europe 600 (DE)";"iShares STOXX Europe 600 (DE)";"MUNCHEN";"Duitsland"
"iShares STOXX Europe 600 Industrial Goods & Services (DE)";"iShares STOXX Europe 600 Industrial Goods & Services (DE)";"FRANKFURT";"Duitsland"
"iShares STOXX Europe 600 Utilities (DE)";"iShares STOXX Europe 600 Utilities (DE)";"FRANKFURT";"Duitsland"
"iShares STOXX Europe Large 200 (DE)";"iShares STOXX Europe Large 200 (DE)";"MUNCHEN";"Duitsland"
"iShares STOXX Europe Mid 200 (DE)";"iShares STOXX Europe Mid 200 (DE)";"MUNCHEN";"Duitsland"
"iShares STOXX Europe Select Dividend 30 (DE)";"iShares STOXX Europe Select Dividend 30 (DE)";"MUNCHEN";"Duitsland"
"iShares STOXX Europe Small 200 (DE)";"iShares STOXX Europe Small 200 (DE)";"MUNCHEN";"Duitsland"
"iShares V plc";"iShares V plc";"DUBLIN 1";"Ierland"
"iShares VI plc";"iShares VI plc";"DUBLIN 1";"Ierland"
"iShares VII plc";"iShares VII plc";"DUBLIN 2";"Ierland"
"IVA Global Sicav";"IVA Global Sicav";"STRASSEN";"Luxemburg"
"IVI Umbrella Fund Plc";"IVI Umbrella Fund Plc";"DUBLIN 2";"Ierland"
"J O Hambro Capital Management Umbrella Fund Plc";"J O Hambro Capital Management Umbrella Fund Plc";"DUBLIN 2";"Ierland"
"J. Safra Sarasin Fund Management (Luxembourg) S.A.";"J. Safra Sarasin Fund Management (Luxembourg) S.A.";"LUXEMBURG";"Luxemburg"
"Janus Henderson Capital Funds plc";"Janus Henderson Capital Funds plc";"DUBLIN 2";"Ierland"
"Janus Henderson Fund";"Janus Henderson Fund";"LUXEMBURG";"Luxemburg"
"Janus Henderson Horizon Fund";"Janus Henderson Horizon Fund";"LUXEMBURG";"Luxemburg"
"Janus Henderson Investment Funds OEIC ";"Janus Henderson Investment Funds OEIC";"LONDEN";"Verenigd Koninkrijk"
"Janus Henderson Strategic Investment Funds";"Janus Henderson Strategic Investment Funds";"LONDEN";"Verenigd Koninkrijk"
"Janus Henderson Sustainable/Responsible Funds. ";"Janus Henderson Sustainable/Responsible Funds.";"LONDEN";"Verenigd Koninkrijk"
"Janus World Funds Plc.";"Janus World Funds Plc.";"DUBLIN 4";"Ierland"
"JPMorgan Asset Management (Europe) S.à.r.l.";"JPMorgan Asset Management (Europe) S.à.r.l.";"Senningerberg";"Luxemburg"
"JPMorgan ETFs (Ireland) ICAV - JPMorgan ETFs (Ireland) ICAV";"JPMorgan ETFs (Ireland) ICAV - JPMorgan ETFs (Ireland) ICAV";"Dublin 1";"Ierland"
"JPMorgan Funds";"JPMorgan Funds";"SENNINGERBERG";"Luxemburg"
"JPMorgan Investment Funds";"JPMorgan Investment Funds";"SENNINGERBERG";"Luxemburg"
"JPMorgan Liquidity Funds SICAV";"JPMorgan Liquidity Funds SICAV";"LUXEMBURG";"Luxemburg"
"JSS Investmentfonds";"JSS Investmentfonds";"LUXEMBURG";"Luxemburg"
"JSS Investmentfonds II";"JSS Investmentfonds II";"LUXEMBURG";"Luxemburg"
"Julius Baer Multicooperation SICAV";"Julius Baer Multicooperation SICAV";"LUXEMBURG";"Luxemburg"
"Jyske Invest International";"Jyske Invest International";"SILKEBORG";"Denemarken"
"Kairos International Sicav";"Kairos International Sicav";"Luxemburg";"Luxemburg"
"Kames Capital Investment Company (Ireland) plc.";"Kames Capital Investment Company (Ireland) plc.";"DUBLIN 1";"Ierland"
"KBC Asset Management NV";"KBC Asset Management NV";"BRUSSEL";"België"
"KBI Institutional Fund ICAV";"KBI Institutional Fund ICAV";"DUBLIN 1";"Ierland"
"Kempen Capital Management N.V.";"Kempen Capital Management N.V.";"Amsterdam";"Nederland"
"KraneShares ICAV";"KraneShares ICAV";"Dublin 2";"Ierland"
"La Francaise Lux";"La Francaise Lux";"Luxemburg";"Luxemburg"
"LAM ZyFin Global Markets UCITS ETF plc";"LAM ZyFin Global Markets UCITS ETF plc";"DUBLIN 2";"Ierland"
"Lazard Asset Management (Deutschland) GmbH";"Lazard Asset Management (Deutschland) GmbH";"Frankfurt";"Duitsland"
"Lazard Fund Managers (Ireland) Limited";"Lazard Fund Managers (Ireland) Limited";"DUBLIN 2";"Ierland"
"Lazard Global Active Funds plc";"Lazard Global Active Funds plc";"Dublin 2 ";"Ierland"
"Lazard Global Investment Funds PLC";"Lazard Global Investment Funds PLC";"DUBLIN 2";"Ierland"
"Legal & General ICAV";"Legal & General ICAV";"Dublin 2";"Ierland"
"Legal & General North America CCF (Dublin)";"Legal & General North America CCF (Dublin)";"DUBLIN 4";"Ierland"
"Legal & General SICAV";"Legal & General SICAV";"LUXEMBURG";"Luxemburg"
"Legal & General UCITS ETF Plc";"Legal & General UCITS ETF Plc";"DUBLIN 2";"Ierland"
"Legg Mason Alternative Funds ICAV";"Legg Mason Alternative Funds ICAV";"DUBLIN 2";"Ierland"
"Legg Mason Global Funds Plc";"Legg Mason Global Funds Plc";"DUBLIN 1";"Ierland"
"Legg Mason Global Solutions plc";"Legg Mason Global Solutions plc";"Dublin 2";"Ierland"
"Legg Mason Investments (Ireland) Limited";"Legg Mason Investments (Ireland) Limited";"Ballsbridge, Dublin 4";"Ierland"
"Lehman Brothers Anti Benchmark Euro Equity Fund";"Lehman Brothers Anti Benchmark Euro Equity Fund";"PARIJS";"Frankrijk"
"Letterstone Plc";"Letterstone Plc";"LONDON";"Verenigd Koninkrijk"
"LFP Allocation";"LFP Allocation";"PARIJS";"Frankrijk"
"LFP Index Variable";"LFP Index Variable";"PARIJS";"Frankrijk"
"Lfpartners Investment Funds";"Lfpartners Investment Funds";"LUXEMBURG";"Luxemburg"
"LGIM Liguidity Fund PLC";"LGIM Liguidity Fund PLC";"Dublin 2";"Ierland"
"LGIM Managers (Europe) Limited";"LGIM Managers (Europe) Limited";"DUBLIN 2";""
"LGT Capital Partners (Ireland) Limited";"LGT Capital Partners (Ireland) Limited";"Dublin 2";"Ierland"
"Liontrust Global Funds plc";"Liontrust Global Funds plc";"DUBLIN 2";"Ierland"
"Lombard Odier Funds";"Lombard Odier Funds";"LUXEMBURG";"Luxemburg"
"Lombard Odier Funds (Europe) S.A.";"Lombard Odier Funds (Europe) S.A.";"Luxemburg";"Luxemburg"
"Lombard Odier Selection";"Lombard Odier Selection";"LUXEMBURG";"Luxemburg"
"Long Term Investment Fund (SIA)";"Long Term Investment Fund (SIA)";"Luxembourg";"Luxemburg"
"Lord Abbett Passport Portfolios plc";"Lord Abbett Passport Portfolios plc";"DUBLIN 2";"Ierland"
"Los Angeles Capital Global Funds plc";"Los Angeles Capital Global Funds plc";"Dublin 2";"Ierland"
"LSAM SF 1 Public Limited Company";"LSAM SF 1 Public Limited Company";"DUBLIN 2 ";"Ierland"
"LSAM SF 3 Plc";"LSAM SF 3 Plc";"DUBLIN 2";"Ierland"
"Lumyna Funds";"Lumyna Funds";"LUXEMBURG";"Luxemburg"
"Luxcellence SICAV";"Luxcellence SICAV";"LUXEMBURG";"Luxemburg"
"Lyxor Equisys Fund";"Lyxor Equisys Fund";"LUXEMBURG";"Luxemburg"
"Lyxor ETF Brazil (IBOVESPA)";"Lyxor ETF Brazil (IBOVESPA)";"PARIJS LA DEFENCE CEDEX";"Frankrijk"
"Lyxor ETF China Enterprise (HSCEI)";"Lyxor ETF China Enterprise (HSCEI)";"PARIJS LA DEFENCE CEDEX";"Frankrijk"
"Lyxor ETF Commodities CRB (Reuter//Jefferies CRB Index)";"Lyxor ETF Commodities CRB (Reuter//Jefferies CRB Index)";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Commodities Thomson Reters/Jefferies CRB Ex-Energy TR";"Lyxor ETF Commodities Thomson Reters/Jefferies CRB Ex-Energy TR";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF Euro Cash";"Lyxor ETF Euro Cash";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Euro Corporate Bond";"Lyxor ETF Euro Corporate Bond";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF Euro Corporate Bond (ex financials)";"Lyxor ETF Euro Corporate Bond (ex financials)";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF Euro Stoxx 50";"Lyxor ETF Euro Stoxx 50";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Euro Stoxx 50 BuyWrite";"Lyxor ETF Euro Stoxx 50 BuyWrite";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Euro Stoxx 50 Daily Leverage";"Lyxor ETF Euro Stoxx 50 Daily Leverage";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF EuroMTS 5-7Y";"Lyxor ETF EuroMTS 5-7Y";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF EuroMTS Covered Bond Aggregate";"Lyxor ETF EuroMTS Covered Bond Aggregate";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF EuroMTS Highest Rated Macro-Weighted Govt Bond";"Lyxor ETF EuroMTS Highest Rated Macro-Weighted Govt Bond";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF FTSE MIB";"Lyxor ETF FTSE MIB";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Leverage AEX";"Lyxor ETF Leverage AEX";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI AC Asia (ex Japan Real Estate)";"Lyxor ETF MSCI AC Asia (ex Japan Real Estate)";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI AC Asia PACIFIC EX Japan";"Lyxor ETF MSCI AC Asia PACIFIC EX Japan";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI EM Latin  America";"Lyxor ETF MSCI EM Latin  America";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI Emerging Markets";"Lyxor ETF MSCI Emerging Markets";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI EMU Small Cap";"Lyxor ETF MSCI EMU Small Cap";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI EMU VALUE";"Lyxor ETF MSCI EMU VALUE";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI Europe";"Lyxor ETF MSCI Europe";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI Europe Real Estate";"Lyxor ETF MSCI Europe Real Estate";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI India";"Lyxor ETF MSCI India";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI Malaysia";"Lyxor ETF MSCI Malaysia";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI USA Real Estate";"Lyxor ETF MSCI USA Real Estate";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI World";"Lyxor ETF MSCI World";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF MSCI World Real Estate";"Lyxor ETF MSCI World Real Estate";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor ETF Nasdaq-100";"Lyxor ETF Nasdaq-100";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Pan Africa";"Lyxor ETF Pan Africa";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Russia";"Lyxor ETF Russia";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Short AEX";"Lyxor ETF Short AEX";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF South Africa (FTSE JSE TOP 40)";"Lyxor ETF South Africa (FTSE JSE TOP 40)";"PARIJS LA DEFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Automobiles & Parts";"Lyxor ETF Stoxx Europe 600 Automobiles & Parts";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Banks";"Lyxor ETF Stoxx Europe 600 Banks";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Basic Resources";"Lyxor ETF Stoxx Europe 600 Basic Resources";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Chemicals";"Lyxor ETF Stoxx Europe 600 Chemicals";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Construction & Materials";"Lyxor ETF Stoxx Europe 600 Construction & Materials";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Financial Services";"Lyxor ETF Stoxx Europe 600 Financial Services";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Food & Beverage";"Lyxor ETF Stoxx Europe 600 Food & Beverage";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Healthcare";"Lyxor ETF Stoxx Europe 600 Healthcare";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Industrial Goods & Services";"Lyxor ETF Stoxx Europe 600 Industrial Goods & Services";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Insurance";"Lyxor ETF Stoxx Europe 600 Insurance";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Media";"Lyxor ETF Stoxx Europe 600 Media";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Oil & Gas";"Lyxor ETF Stoxx Europe 600 Oil & Gas";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Personal & Household Goods";"Lyxor ETF Stoxx Europe 600 Personal & Household Goods";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Retail";"Lyxor ETF Stoxx Europe 600 Retail";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Technology";"Lyxor ETF Stoxx Europe 600 Technology";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Telecommunications";"Lyxor ETF Stoxx Europe 600 Telecommunications";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Travel & Leisure";"Lyxor ETF Stoxx Europe 600 Travel & Leisure";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe 600 Utilities";"Lyxor ETF Stoxx Europe 600 Utilities";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Lyxor ETF Stoxx Europe Select Dividend 30";"Lyxor ETF Stoxx Europe Select Dividend 30";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor ETF Turkey (DJ Turkey Titans 20)";"Lyxor ETF Turkey (DJ Turkey Titans 20)";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor Euro Stoxx 50 Daily Double Short UCITS ETF";"Lyxor Euro Stoxx 50 Daily Double Short UCITS ETF";"Paris La Defense Cedex";"Frankrijk"
"Lyxor Index Fund";"Lyxor Index Fund";"LUXEMBOURG";"Luxemburg"
"Lyxor International Asset Management";"Lyxor International Asset Management";"PUTEAUX";"Frankrijk"
"Lyxor Investment Funds";"Lyxor Investment Funds";"LUXEMBURG";"Luxemburg"
"Lyxor Investment Strategies plc";"Lyxor Investment Strategies plc";"DUBLIN 2";"Ierland"
"Lyxor Newcits IRL II plc";"Lyxor Newcits IRL II plc";"DUBLIN 2";"Ierland"
"Lyxor Newcits IRL III ICAV";"Lyxor Newcits IRL III ICAV";"Dublin 2";"Ierland"
"Lyxor Newcits IRL PLC";"Lyxor Newcits IRL PLC";"DUBLIN 1";"Ierland"
"Lyxor Selection Fund";"Lyxor Selection Fund";"LUXEMBURG";"Luxemburg"
"Lyxor UCITS  ETF Japan (Topix)";"Lyxor UCITS  ETF Japan (Topix)";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor UCITS ETF DAILY DOUBLE SHORT BUND";"Lyxor UCITS ETF DAILY DOUBLE SHORT BUND";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor UCITS ETF DOW JONES INDUSTRIAL AVERAGE";"Lyxor UCITS ETF DOW JONES INDUSTRIAL AVERAGE";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor UCITS ETF EuroMTS 15+ Y";"Lyxor UCITS ETF EuroMTS 15+ Y";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor UCITS ETF EuroMTS 7-10Y  Investment Grade";"Lyxor UCITS ETF EuroMTS 7-10Y  Investment Grade";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Lyxor UCITS ETF FTSE ATHEX Large Cap";"Lyxor UCITS ETF FTSE ATHEX Large Cap";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor UCITS ETF MSCI USA";"Lyxor UCITS ETF MSCI USA";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Lyxor UCITS ETF World Water";"Lyxor UCITS ETF World Water";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"M&G (LUX) Investment Funds 1";"M&G (LUX) Investment Funds 1";"LUXEMBURG";"Luxemburg"
"M&G Investment Funds (1)";"M&G Investment Funds (1)";"LONDEN";"Verenigd Koninkrijk"
"M&G Investment Funds (12)";"M&G Investment Funds (12)";"LONDON";"Verenigd Koninkrijk"
"M&G Investment Funds (2)";"M&G Investment Funds (2)";"LONDEN";"Verenigd Koninkrijk"
"M&G Investment Funds (3)";"M&G Investment Funds (3)";"LONDON";"Verenigd Koninkrijk"
"M&G Investment Funds (5)";"M&G Investment Funds (5)";"LONDEN";"Verenigd Koninkrijk"
"M&G Investment Funds (7)";"M&G Investment Funds (7)";"LONDON";"Verenigd Koninkrijk"
"M&G Investment Funds (8)";"M&G Investment Funds (8)";"LONDON";"Verenigd Koninkrijk"
"Macquarie Fund Solutions";"Macquarie Fund Solutions";"LUXEMBURG";"Luxemburg"
"Magellan";"Magellan";"PARIJS";"Frankrijk"
"Magna Umbrella Fund Plc";"Magna Umbrella Fund Plc";"DUBLIN 2";"Ierland"
"MainFirst SICAV";"MainFirst SICAV";"SENNINGERBERG";"Luxemburg"
"MAJ Invest Funds";"MAJ Invest Funds";"Howald";"Luxemburg"
"Man Asset Management (Ireland) Limited";"Man Asset Management (Ireland) Limited";"Dublin 2";"Ierland"
"Man Funds plc";"Man Funds plc";"DUBLIN 2";"Ierland"
"Man Funds VI plc";"Man Funds VI plc";"DUBLIN 2";"Ierland"
"Man Umbrella SICAV";"Man Umbrella SICAV";"LUXEMBURG";"Luxemburg"
"Manulife Investment Management (Ireland) Limited";"Manulife Investment Management (Ireland) Limited";"IFSC, Dublin";"Ierland"
"Manulife Investment Management I plc";"Manulife Investment Management I plc";"Dublin";"Ierland"
"Market Access";"Market Access";"LUXEMBURG";"Luxemburg"
"Marshall Wace UCITS Funds Plc";"Marshall Wace UCITS Funds Plc";"DUBLIN 2";"Ierland"
"Merian Global Investors Series Plc";"Merian Global Investors Series Plc";"DUBLIN 2";"Ierland"
"Merit Capital Global Investment Fund";"Merit Capital Global Investment Fund";"Antwerpen";"België"
"Meriten Investment Management GmbH";"Meriten Investment Management GmbH";"Düsseldorf";"Duitsland"
"Merrill Lynch Global Selects Portfolio Plc";"Merrill Lynch Global Selects Portfolio Plc";"DUBLIN 2";"Ierland"
"Metropole Avenir Europe";"Metropole Avenir Europe";"PARIJS";"Frankrijk"
"Metropole Convertibles";"Metropole Convertibles";"PARIJS";"Frankrijk"
"Metropole Euro";"Metropole Euro";"PARIJS";"Frankrijk"
"Metropole Funds";"Metropole Funds";"PARIJS";"Frankrijk"
"Metropole Selection";"Metropole Selection";"PARIJS";"Frankrijk"
"MFP SICAV Plc";"MFP SICAV Plc";"ST. JULIAN'S";"Malta"
"MFS Investment Funds";"MFS Investment Funds";"Luxemburg";"Luxemburg"
"MFS Investment Management Company (Lux) S.a.r.l.";"MFS Investment Management Company (Lux) S.a.r.l.";"Luxemburg";"Luxemburg"
"MFS Meridian Funds";"MFS Meridian Funds";"LUXEMBURG";"Luxemburg"
"MGI Funds plc";"MGI Funds plc";"DUBLIN 2";"Ierland"
"Mirabaud";"Mirabaud";"LUXEMBURG";"Luxemburg"
"Mirae Asset Global Discovery Fund";"Mirae Asset Global Discovery Fund";"BERTRANGE";"Luxemburg"
"Mirova";"Mirova";"PARIJS";"Frankrijk"
"Mirova Funds";"Mirova Funds";"LUXEMBURG";"Luxemburg"
"MM Institutional Funds Plc";"MM Institutional Funds Plc";"DUBLIN 2";"Ierland"
"Montag & Caldwell Funds Plc";"Montag & Caldwell Funds Plc";" DUBLIN 2";"Ierland"
"Montanaro Smaller Companies plc";"Montanaro Smaller Companies plc";"DUBLIN 1";"Ierland"
"Montlake UCITS Platform ICAV";"Montlake UCITS Platform ICAV";"DUBLIN 2";"Ierland"
"Morgan Stanley Investment Funds";"Morgan Stanley Investment Funds";"SENNINGERBERG";"Luxemburg"
"Morgan Stanley Liquidity Funds";"Morgan Stanley Liquidity Funds";"SENNINGERBERG";"Luxemburg"
"Most Diversified Portfolio Sicav";"Most Diversified Portfolio Sicav";"LUXEMBURG";"Luxemburg"
"Multi Manager Access II";"Multi Manager Access II";"Luxemburg";"Luxemburg"
"Multi Units France";"Multi Units France";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"Multi Units France EuroMTS 10-15Y";"Multi Units France EuroMTS 10-15Y";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Multi Units France EuroMTS 1-3Y";"Multi Units France EuroMTS 1-3Y";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Multi Units France EuroMTS 3-5Y";"Multi Units France EuroMTS 3-5Y";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Multi Units France EuroMTS Inflation Linked";"Multi Units France EuroMTS Inflation Linked";"PARIJS LA DEFENSE CEDEX";"Frankrijk"
"Multi Units Luxembourg";"Multi Units Luxembourg";"LUXEMBURG";"Luxemburg"
"Multiflex SICAV";"Multiflex SICAV";"Luxemburg";"Luxemburg"
"Multipartner SICAV";"Multipartner SICAV";"LUXEMBURG";"Luxemburg"
"Multiple Managers SICAV";"Multiple Managers SICAV";"LUXEMBURG";"Luxemburg"
"Multirange SICAV";"Multirange SICAV";"LUXEMBURG";"Luxemburg"
"Multi-Style, Multi-Manager Funds plc";"Multi-Style, Multi-Manager Funds plc";"DUBLIN 1";"Ierland"
"Muzinich Funds";"Muzinich Funds";"DUBLIN 2";"Ierland"
"Natixis Actions US Growth";"Natixis Actions US Growth";"PARIS CEDEX 13";"Frankrijk"
"Natixis AM Funds";"Natixis AM Funds";"Luxembourg";"Luxemburg"
"Natixis International Funds (Dublin) I plc";"Natixis International Funds (Dublin) I plc";"Dublin 2";"Ierland"
"Natixis International Funds (Lux) I";"Natixis International Funds (Lux) I";"LUXEMBURG";"Luxemburg"
"Natixis Investment Managers International";"Natixis Investment Managers International, Natixis Asset Management";"Parijs";"Frankrijk"
"Natixis Investment Managers S.A.";"Natixis Investment Managers S.A.";"LUXEMBURG";"Luxemburg"
"Neptune Investment Funds";"Neptune Investment Funds";"LONDON";"Verenigd Koninkrijk"
"Neptune Investment Funds IV";"Neptune Investment Funds IV";"LONDEN";"Verenigd Koninkrijk"
"Neuberger Berman Investment Funds plc";"Neuberger Berman Investment Funds plc";"DUBLIN 2";"Ierland"
"Neuflize Monde Convertibles";"Neuflize Monde Convertibles";"PARIJS";"Frankrijk"
"Neuflize Private Assets";"Neuflize Private Assets";"PARIS";"Frankrijk"
"New Capital UCITS Fund Plc";"New Capital UCITS Fund Plc";"Dublin 2";"Ierland"
"New Star OEIC";"New Star OEIC";"LONDON";"Verenigd Koninkrijk"
"Nikko AM Global Umbrella Fund";"Nikko AM Global Umbrella Fund";"Luxemburg";"Luxemburg"
"NN (L)";"NN (L)";"LUXEMBURG";"Luxemburg"
"NN (L) International";"NN (L) International";"LUXEMBURG";"Luxemburg"
"NN (L) LIQUID";"NN (L) LIQUID";"LUXEMBURG";"Luxemburg"
"NN (L) Patrimonial";"NN (L) Patrimonial";"LUXEMBURG";"Luxemburg"
"NN Investment Partners B.V.";"NN Investment Partners B.V.";"'s-Gravenhage";"Nederland"
"NOBC Europe Convertibles";"NOBC Europe Convertibles";"PARIJS";"Frankrijk"
"Nomura Asset Management Deutschland KAG mbh";"Nomura Asset Management Deutschland KAG mbh";"Frankfurt am Main";"Duitsland"
"Nomura Funds Ireland plc";"Nomura Funds Ireland plc";"DUBLIN 4";"Ierland"
"Nomura Investment Solutions Plc";"Nomura Investment Solutions Plc";"DUBLIN 2";"Ierland"
"Nomura Next Funds Ireland plc";"Nomura Next Funds Ireland plc";"DUBLIN 2";"Ierland"
"Nordea 1 SICAV";"Nordea 1 SICAV";"SENNINGERBERG";"Luxemburg"
"Nordea 2 SICAV";"Nordea 2 SICAV";"LUXEMBURG";"Luxemburg"
"Northern Trust Fund Managers (Ireland) Limited";"Northern Trust Fund Managers (Ireland) Limited";"DUBLIN 2";"Ierland"
"Northern Trust Global Funds plc";"Northern Trust Global Funds plc";"Dublin 2";"Ierland"
"Northern Trust Investment Funds plc";"Northern Trust Investment Funds plc";"DUBLIN 2";"Ierland"
"Northern Trust UCITS Common Contractual Fund";"Northern Trust UCITS Common Contractual Fund";"Dublin 2";"Ierland"
"Northern Trust UCITS FGR Fund";"Northern Trust UCITS FGR Fund";"DUBLIN 2";"Ierland"
"Northill Global Funds ICAV";"Northill Global Funds ICAV";"Dublin 2";"Ierland"
"Novacap Asset management S.A.";"Novacap Asset management S.A.";"Luxemburg";"Luxemburg"
"Nuveen Global Investors Fund Plc";"Nuveen Global Investors Fund Plc";"DUBLIN 2";"Ierland"
"Oaktree (Lux.) Funds";"Oaktree (Lux.) Funds";"LUXEMBURG";"Luxemburg"
"ODDO BHF Active All Cap";"ODDO BHF Active All Cap";"PARIJS CEDEX 09";"Frankrijk"
