"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"AMUNDI Treso Court Terme";"AMUNDI Treso Court Terme";"PARIJS CEDEX 15";"Frankrijk"
"Andurand UCITS ICAV";"Andurand UCITS ICAV";"Dublin 2";"Ierland"
"Anima SICAV";"Anima SICAV";"LUXEMBURG";"Luxemburg"
"Aphilion Q2";"Aphilion Q2";"BRUSSEL";"België"
"AQR UCITS Funds";"AQR UCITS Funds";"LUXEMBURG";"Luxemburg"
"AQR UCITS FUNDS II";"AQR UCITS FUNDS II";"Hesperange";"Luxemburg"
"Argonaut Capital Partners International Plc";"Argonaut Capital Partners International Plc";"DUBLIN 2";"Ierland"
"Arisaig Funds plc";"Arisaig Funds plc";"DUBLIN 2";"Ierland"
"Artemis Funds (Lux)";"Artemis Funds (Lux)";"Senningerberg";"Luxemburg"
"Artemis Investment Funds ICVC";"Artemis Investment Funds ICVC";"Londen";"Verenigd Koninkrijk"
"Artisan Partners Global Funds plc";"Artisan Partners Global Funds plc";"DUBLIN 2";"Ierland"
"ARTY";"ARTY";"PARIJS";"Frankrijk"
"Ashmore SICAV";"Ashmore SICAV";"FINDEL";"Luxemburg"
"Aspect UCITS Fund plc";"Aspect UCITS Fund plc";"DUBLIN 2";"Ierland"
"Asset Allocation Advisors";"Asset Allocation Advisors";"PARIJS";"Frankrijk"
"Atlantis International Umbrella Fund";"Atlantis International Umbrella Fund";"DUBLIN 1";"Ierland"
"Atlas";"Atlas";"BRUSSEL";"België"
"ATLAS Global Infrastructure UCITS ICAV";"ATLAS Global Infrastructure UCITS ICAV";"Dublin 1";"Ierland"
"Aurum UCITS Funds ICAV";"Aurum UCITS Funds ICAV";"DUBLIN 2";"Ierland"
"AvH Emerging Markets Fonds UI";"AvH Emerging Markets Fonds UI";"Frankfurt am Main";"Duitsland"
"Aviva Investors Liquidity Funds Plc";"Aviva Investors Liquidity Funds Plc";"DUBLIN 1";"Ierland"
"Aviva Investors Luxembourg";"Aviva Investors Luxembourg";"Luxembourg";"Luxemburg"
"Aviva Investors SICAV";"Aviva Investors SICAV";"LUXEMBURG";"Luxemburg"
"Aviva Morley SICAV";"Aviva Morley SICAV";"LUXEMBURG";"Luxemburg"
"Axa Court Terme";"Axa Court Terme";"Parijs - La Défense cedex";"Frankrijk"
"AXA Euro 3-5";"AXA Euro 3-5";"PARIJS LA DÉFENSE ";"Frankrijk"
"AXA Euro 5-7";"AXA Euro 5-7";"PARIJS LA DÉFENSE";"Frankrijk"
"AXA Euro 7-10";"AXA Euro 7-10";"PARIJS LA DÉFENSE";"Frankrijk"
"AXA IM Euro FI Moderato";"AXA IM Euro FI Moderato";"PARIS LA DEFENSE CEDEX";"Frankrijk"
"Axa IM Euro Liquidity";"Axa IM Euro Liquidity";"Parijs - La Défense cedex";"Frankrijk"
"AXA IM Fixed Income Investment Strategies";"AXA IM Fixed Income Investment Strategies";"LUXEMBURG";"Luxemburg"
"AXA Investment Managers Paris";"AXA Investment Managers Paris";"PARIJS LA DÉFENCE CEDEX";"Frankrijk"
"AXA Investment Managers Paris";"AXA Investment Managers Paris";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"AXA Rosenberg Equity Alpha Trust";"AXA Rosenberg Equity Alpha Trust";"DUBLIN 1";"Ierland"
"AXA Spread Plus";"AXA Spread Plus";"PARIJS LA DÉFENSE CEDEX";"Frankrijk"
"Axa Tresor Court Terme";"Axa Tresor Court Terme";"Parijs - La Défense cedex";"Frankrijk"
"AXA World Funds SICAV";"AXA World Funds SICAV";"LUXEMBURG";"Luxemburg"
"Bachelier UI";"Bachelier UI";"Frankfurt am Main";"Duitsland"
"Baillie Gifford Worldwide Funds plc";"Baillie Gifford Worldwide Funds plc";"Dublin";"Ierland"
"Bakersteel Global Funds SICAV";"Bakersteel Global Funds SICAV";"Luxemburg";"Luxemburg"
"Balanced Wealth Builder Fund";"Balanced Wealth Builder Fund";"Liechtenstein";"Liechtenstein"
"Bank of America Global Liquidity Funds plc";"Bank of America Global Liquidity Funds plc";"DUBLIN 2";"Ierland"
"Baring Emerging Markets Umbrella Fund";"Baring Emerging Markets Umbrella Fund";"DUBLIN 2";"Ierland"
"Baring German Growth Trust";"Baring German Growth Trust";"LONDEN";"Verenigd Koninkrijk"
"Baring Global Umbrella Fund";"Baring Global Umbrella Fund";"DUBLIN 2";"Ierland"
"Baring International Umbrella Fund";"Baring International Umbrella Fund";"DUBLIN 2";"Ierland"
"Barings Investment Funds plc";"Barings Investment Funds plc";"DUBLIN 2";"Ierland"
